target,horizon_h,RMSE_naive,RMSE_ridge,RMSE_random_forest
CO(GT),1,0.5604373596710609,0.4850847434726382,0.48681783876067525
CO(GT),6,1.278811883950986,0.8098428294548329,0.8742500296860758
CO(GT),12,1.2775477506012076,0.9229501709309647,0.9785471984997999
CO(GT),24,0.9142238956908858,0.9186262720582865,1.0155649680585577
NMHC(GT),1,0.5596731443350728,0.5486885054662237,0.4610576194615215
NMHC(GT),6,1.4414812340071192,0.626197664964132,0.5566630811056785
NMHC(GT),12,1.346854905167407,0.5012799807797212,0.49897726901519596
NMHC(GT),24,0.0,0.4806727532483353,0.5744363602872831
C6H6(GT),1,0.4842182500981457,0.49197225703911224,0.3863685306400762
C6H6(GT),6,1.0963034661898692,0.8754759294419839,0.8468111902418052
C6H6(GT),12,1.122958320949293,0.902907073179021,0.8724545144151966
C6H6(GT),24,0.7715304725601301,0.7897116653003761,0.8216798887234718
NOx(GT),1,0.5765903701163482,0.520540454689316,0.5102569067006857
NOx(GT),6,1.4337564758638135,0.8778278763593365,0.9011142675858226
NOx(GT),12,1.4055981973107734,0.9062233020829363,1.0365555868742151
NOx(GT),24,1.0567249778676175,0.9623317924040106,1.0010443172079158
NO2(GT),1,0.6322911056396001,0.579564660840061,0.6546587999716613
NO2(GT),6,1.6973812912728719,0.9176455906525686,0.97410821934409
NO2(GT),12,1.7017980236447285,0.9174292812849835,1.02237516811833
NO2(GT),24,1.1070174332067277,0.9503071419365251,1.0036413370548742
